Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Wisconsin,US,2020-04-29 02:32:29,3,1,0,46.52868768,-91.19716729
South Dakota,US,2020-04-29 02:32:29,21,2,0,44.41464384,-98.27858469
Utah,US,2020-04-29 02:32:29,60,1,0,41.52106798,-113.0832816
North Carolina,US,2020-04-29 02:32:29,20,0,0,35.48531943,-76.84325809
South Carolina,US,2020-04-29 02:32:29,259,10,0,32.39226291,-80.72619758
Louisiana,US,2020-04-29 02:32:29,37,3,0,30.64836518,-93.34173616
Oklahoma,US,2020-04-29 02:32:29,5,0,0,36.7496847,-100.4758872
Pennsylvania,US,2020-04-29 02:32:29,388,59,0,40.6825484,-80.34921611
Montana,US,2020-04-29 02:32:29,1,0,0,45.13434354,-112.8984694
Minnesota,US,2020-04-29 02:32:29,2,0,0,46.93479392,-95.67158144
Oklahoma,US,2020-04-29 02:32:29,5,0,0,35.26862449,-99.68128023
Pennsylvania,US,2020-04-29 02:32:29,22,1,0,40.00522157,-78.48998442
Tennessee,US,2020-04-29 02:32:29,167,2,0,35.51123746,-86.45549096
Virginia,US,2020-04-29 02:32:29,25,0,0,37.3080028,-79.5281964
Texas,US,2020-04-29 02:32:29,5,0,0,28.41761668,-97.74215593
New Hampshire,US,2020-04-29 02:32:29,34,0,0,43.51637314,-71.41684235
Texas,US,2020-04-29 02:32:29,173,3,0,31.03736027,-97.4785025
Ohio,US,2020-04-29 02:32:29,118,7,0,40.01625942,-80.9924051
Minnesota,US,2020-04-29 02:32:29,6,0,0,47.97373527,-94.93732139
Georgia,US,2020-04-29 02:32:29,25,0,0,31.76095874,-83.22145359
Vermont,US,2020-04-29 02:32:29,44,1,0,43.03519828,-73.09048868
Arkansas,US,2020-04-29 02:32:29,94,0,0,36.33644656,-94.25680817
Indiana,US,2020-04-29 02:32:29,7,0,0,40.60626947,-87.31093999
Iowa,US,2020-04-29 02:32:29,30,1,0,42.08011739,-92.06463573
Minnesota,US,2020-04-29 02:32:29,6,0,0,45.69804958,-93.99514135
Mississippi,US,2020-04-29 02:32:29,9,0,0,34.81681228,-89.18945516
Missouri,US,2020-04-29 02:32:29,4,0,0,38.29503305,-93.28756116
Oregon,US,2020-04-29 02:32:29,29,5,0,44.49167306,-123.4316987
Tennessee,US,2020-04-29 02:32:29,6,1,0,36.07110411,-88.06849355
Washington,US,2020-04-29 02:32:29,415,39,0,46.23946995,-119.5120834
Michigan,US,2020-04-29 02:32:29,4,0,0,44.63899297,-86.01608482
New Jersey,US,2020-04-29 02:32:29,15251,1002,0,40.96010917,-74.07164325
South Carolina,US,2020-04-29 02:32:29,174,9,0,33.20222596,-79.94654523
West Virginia,US,2020-04-29 02:32:29,141,1,0,39.46704621,-78.02414609
Pennsylvania,US,2020-04-29 02:32:29,2605,91,0,40.41570541,-75.92457766
Massachusetts,US,2020-04-29 02:32:29,430,31,0,42.37428441,-73.20524838
New Mexico,US,2020-04-29 02:32:29,738,35,0,35.05163625,-106.6703554
Georgia,US,2020-04-29 02:32:29,18,0,0,31.27590016,-83.2252992
Michigan,US,2020-04-29 02:32:29,232,15,0,41.95447397,-86.4131308
North Carolina,US,2020-04-29 02:32:29,38,2,0,36.0688473,-76.96545943
Alaska,US,2020-04-29 02:32:29,1,0,0,60.90980451,-159.8561831
Texas,US,2020-04-29 02:32:29,1275,44,0,29.44928723,-98.52019748
Alabama,US,2020-04-29 02:32:29,42,0,0,32.99642064,-87.1251146
Georgia,US,2020-04-29 02:32:29,269,8,0,32.80904227,-83.70489165
Louisiana,US,2020-04-29 02:32:29,73,13,0,32.34569994,-93.05398492
Montana,US,2020-04-29 02:32:29,3,0,0,45.42335905,-107.492347
Wyoming,US,2020-04-29 02:32:29,2,0,0,44.52405055,-107.9960365
Minnesota,US,2020-04-29 02:32:29,2,0,0,45.42712824,-96.41403739
Idaho,US,2020-04-29 02:32:29,3,0,0,43.2167288,-112.3978437
Iowa,US,2020-04-29 02:32:29,941,12,0,42.4704581,-92.30524729
Indiana,US,2020-04-29 02:32:29,7,1,0,40.47388153,-85.32499702
North Carolina,US,2020-04-29 02:32:29,13,0,0,34.61296243,-78.56180059
Idaho,US,2020-04-29 02:32:29,497,5,0,43.4085812,-113.9752658
Pennsylvania,US,2020-04-29 02:32:29,21,0,0,40.47961444,-78.34917412
Texas,US,2020-04-29 02:32:29,6,0,0,30.26640707,-98.3999852
Virginia,US,2020-04-29 02:32:29,0,0,0,37.13128068,-81.13599391
Georgia,US,2020-04-29 02:32:29,12,0,0,32.43829035,-83.33035166
Tennessee,US,2020-04-29 02:32:29,589,0,0,35.59942968,-85.20611967
Alabama,US,2020-04-29 02:32:29,34,0,0,33.98210918,-86.56790593
Tennessee,US,2020-04-29 02:32:29,55,3,0,35.68938198,-83.92847788
Minnesota,US,2020-04-29 02:32:29,33,0,0,44.03554215,-94.06699781
Mississippi,US,2020-04-29 02:32:29,101,7,0,33.79696941,-90.87372121
Missouri,US,2020-04-29 02:32:29,4,0,0,37.32449052,-90.02725304
South Dakota,US,2020-04-29 02:32:29,4,0,0,42.98914167,-97.88592746
Illinois,US,2020-04-29 02:32:29,5,1,0,38.88829622,-89.43534887
Idaho,US,2020-04-29 02:32:29,4,0,0,48.29996017,-116.6017932
Idaho,US,2020-04-29 02:32:29,27,0,0,43.38713372,-111.6161537
Arkansas,US,2020-04-29 02:32:29,5,0,0,36.3084504,-93.09374925
Illinois,US,2020-04-29 02:32:29,81,9,0,42.32359279,-88.82345779
Indiana,US,2020-04-29 02:32:29,185,20,0,40.0509304,-86.46841646
